CODE,NAME
9238,バリュークリエーション(株)
150A,(株)ＪＳＨ
2354,(株)ＹＥ　ＤＩＧＩＴＡＬ
6572,オープングループ(株)
6505,東洋電機製造(株)
157A,グリーンモンスター(株)
7581,(株)サイゼリヤ
6033,(株)エクストリーム
175A,(株)Ｗｉｌｌ　Ｓｍａｒｔ
7138,(株)ＴＯＲＩＣＯ
325A,(株)ＴＥＮＴＩＡＬ
205A,(株)ロゴスホールディングス
3547,(株)ユニシアホールディングス
1418,インターライフホールディングス(株)
446A,(株)ノースサンド
3187,(株)ミラタップ
5575,(株)Ｇｌｏｂｅｅ
9517,イーレックス(株)
2034,NEXT NOTES 韓国KOSPI･ベアETN
4092,日本化学工業(株)
7254,(株)ユニバンス
9279,(株)ギフトホールディングス
5242,(株)アイズ
3077,ホリイフードサービス(株)
4490,(株)ビザスク
7211,三菱自動車(株)
8101,(株)ＧＳＩクレオス
5029,サークレイス(株)
4722,フューチャー(株)
6532,(株)ベイカレント
3994,(株)マネーフォワード
9704,(株)アゴーラホスピタリティーグループ
1459,楽天 ETF-日経ダブルインバース指数連動型
2836,GX フィンテック-日本株式
7806,(株)ＭＴＧ
1360,日経平均ベア2倍上場投信
4432,ウイングアーク１ｓｔ(株)
7134,(株)アップガレージグループ
1357,(NEXT FUNDS) 日経ダブルインバース上場投信
2384,ＳＢＳホールディングス(株)
3181,(株)買取王国
6558,クックビズ(株)
2962,(株)テクニスコ
7602,(株)レダックス
4664,ＲＳＣ
1695,WisdomTree 小麦上場投信
6086,シンメンテホールディングス(株)
7389,(株)あいちフィナンシャルグループ
2652,(株)まんだらけ
4564,オンコセラピー・サイエンス(株)
