CODE,NAME
6659,(株)メディアリンクス
7082,(株)ジモティー
4392,ＦＩＧ(株)
6613,(株)ＱＤレーザ
6579,ログリー(株)
5537,(株)ＡｌｂａＬｉｎｋ
9552,(株)クオンツ総研ホールディングス
3905,データセクション(株)
5484,東北特殊鋼(株)
4499,(株)Ｓｐｅｅｅ
7746,岡本硝子(株)
7707,プレシジョン・システム・サイエンス(株)
3907,シリコンスタジオ(株)
5074,テスホールディングス(株)
2962,(株)テクニスコ
8152,ソマール(株)
6574,(株)コンヴァノ
9903,(株)カンセキ
3628,(株)データホライゾン
6993,大黒屋ホールディングス(株)
7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
6619,ダブル・スコープ(株)
186A,(株)アストロスケールホールディングス
3415,(株)ＴＯＫＹＯ　ＢＡＳＥ
3964,(株)オークネット
350A,デジタルグリッド(株)
8247,(株)大和
456A,ＨＵＭＡＮ　ＭＡＤＥ(株)
9562,ビジネスコーチ(株)
3656,ＫＬａｂ(株)
336A,ダイナミックマッププラットフォーム(株)
3994,(株)マネーフォワード
7071,(株)アンビスホールディングス
5363,(株)ＴＹＫ
6232,(株)ＡＣＳＬ
464A,(株)ＱＰＳホールディングス
8136,(株)サンリオ
8127,ヤマト　インターナショナル(株)
3680,(株)ホットリンク
9554,(株)ＡＶｉＣ
2788,アップルインターナショナル(株)
2693,ＹＫＴ(株)
4413,(株)ボードルア
4373,シンプレクス・ホールディングス(株)
141A,(株)トライアルホールディングス
9467,(株)アルファポリス
9766,コナミグループ(株)
4419,(株)Ｆｉｎａｔｅｘｔホールディングス
6580,(株)ライトアップ
7069,(株)サイバー・バズ
