CODE,NAME
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株)
3103,ユニチカ(株)
3987,エコモット(株)
6740,(株)ジャパンディスプレイ
6866,ＨＩＯＫＩ(株)
3444,(株)菊池製作所
3449,(株)テクノフレックス
6085,アーキテクツ・スタジオ・ジャパン(株)
5817,ＪＭＡＣＳ(株)
6522,(株)アスタリスク
4422,ＶＡＬＵＥＮＥＸ(株)
4888,ステラファーマ(株)
6217,津田駒工業(株)
6703,ＯＫＩ
6762,ＴＤＫ(株)
6668,(株)アドテック　プラズマ　テクノロジー
7217,(株)テイン
4241,(株)アテクト
4107,伊勢化学工業(株)
7719,(株)東京衡機
5367,(株)ニッカトー
3994,(株)マネーフォワード
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
6072,地盤ネットホールディングス(株)
4564,オンコセラピー・サイエンス(株)
7162,アストマックス(株)
6666,リバーエレテック(株)
8011,(株)三陽商会
6433,ヒーハイスト(株)
3105,日清紡ホールディングス(株)
6997,日本ケミコン(株)
4704,トレンドマイクロ(株)
5243,ｎｏｔｅ(株)
6999,ＫＯＡ(株)
153A,(株)カウリス
6838,(株)多摩川ホールディングス
4886,あすか製薬ホールディングス(株)
1407,(株)ウエストホールディングス
7477,ムラキ(株)
6367,ダイキン工業(株)
3778,さくらインターネット(株)
7564,(株)ワークマン
456A,ＨＵＭＡＮ　ＭＡＤＥ(株)
485A,(株)パワーエックス
6324,(株)ハーモニック・ドライブ・システムズ
4240,クラスターテクノロジー(株)
6941,山一電機(株)
4445,リビン・テクノロジーズ(株)
5805,ＳＷＣＣ(株)
6255,(株)エヌ・ピー・シー
