CODE,NAME
5242,(株)アイズ
2034,NEXT NOTES 韓国KOSPI･ベアETN
150A,(株)ＪＳＨ
5216,(株)倉元製作所
7501,(株)ティムコ
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
7581,(株)サイゼリヤ
3697,(株)ＳＨＩＦＴ
1366,iFreeETF 日経平均ダブルインバース・インデックス
2354,(株)ＹＥ　ＤＩＧＩＴＡＬ
1459,楽天 ETF-日経ダブルインバース指数連動型
6573,ＣＲＡＶＩＡ(株)
1360,日経平均ベア2倍上場投信
1827,(株)ナカノフドー建設
1357,(NEXT FUNDS) 日経ダブルインバース上場投信
7031,(株)インバウンドテック
1466,iFreeETF JPX日経400ダブルインバース・インデックス
559A,梅乃宿酒造(株)
7640,(株)トップカルチャー
1691,WisdomTree ガソリン上場投信
7808,(株)シー・エス・ランバー
1469,JPX日経400ベア2倍上場投信ダブルインバース
2870,iFreeETF NASDAQ100ダブルインバース
1356,TOPIXベア2倍上場投信
1795,(株)マサル
318A,VIX短期先物指数ETF
2871,(株)ニチレイ
7807,(株)幸和製作所
7694,(株)いつも
2484,(株)出前館
1472,(NEXT FUNDS)JPX日経400ダブルインバース
3850,(株)ＮＴＴデータイントラマート
6869,シスメックス(株)
1368,iFreeETF TOPIXダブルインバース(-2倍)指数
4591,(株)リボミック
6572,オープングループ(株)
542A,(株)ビタブリッドジャパン
9439,(株)エム・エイチ・グループ
2337,いちご(株)
9697,(株)カプコン
1456,iFreeETF 日経平均インバース・インデックス
6505,東洋電機製造(株)
6545,(株)インターネットインフィニティー
1580,日経平均ベア上場投信
3382,(株)セブン＆アイ・ホールディングス
9766,コナミグループ(株)
7359,(株)東京通信グループ
9069,センコーグループホールディングス(株)
558A,(株)ＳＱＵＥＥＺＥ
4431,(株)スマレジ
