CODE,NAME
5216,(株)倉元製作所
6217,津田駒工業(株)
6433,ヒーハイスト(株)
485A,(株)パワーエックス
149A,(株)シンカ
6897,(株)ツインバード
5817,ＪＭＡＣＳ(株)
6613,(株)ＱＤレーザ
4691,ワシントンホテル(株)
9256,(株)サクシード
5803,(株)フジクラ
6327,北川精機(株)
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
3544,サツドラホールディングス(株)
9449,ＧＭＯインターネットグループ(株)
218A,(株)Ｌｉｂｅｒａｗａｒｅ
4425,Ｋｕｄａｎ(株)
3907,シリコンスタジオ(株)
4169,ＥＮＥＣＨＡＮＧＥ(株)
3449,(株)テクノフレックス
3444,(株)菊池製作所
3086,Ｊ．フロント　リテイリング(株)
6480,日本トムソン(株)
6629,テクノホライゾン(株)
6522,(株)アスタリスク
7719,(株)東京衡機
6627,(株)テラプローブ
4055,ティアンドエスグループ(株)
6227,ＡＩメカテック(株)
6254,野村マイクロ・サイエンス(株)
6769,ザインエレクトロニクス(株)
6085,アーキテクツ・スタジオ・ジャパン(株)
4664,ＲＳＣ
4667,アイサンテクノロジー(株)
1623,(NEXT FUNDS)鉄鋼･非鉄上場投信
6570,(株)共和コーポレーション
135A,(株)ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
1436,(株)グリーンエナジー＆カンパニー
6338,(株)タカトリ
3687,(株)フィックスターズ
7048,ベルトラ(株)
7383,(株)ネットプロテクションズホールディングス
5016,ＪＸ金属(株)
5074,テスホールディングス(株)
4174,(株)アピリッツ
6072,地盤ネットホールディングス(株)
336A,ダイナミックマッププラットフォーム(株)
6324,(株)ハーモニック・ドライブ・システムズ
6343,フリージア・マクロス(株)
3741,(株)セック
