CODE,NAME
7063,(株)Ｂｉｒｄｍａｎ
7602,(株)レダックス
9941,太洋物産(株)
6522,(株)アスタリスク
4935,(株)リベルタ
3070,(株)ジェリービーンズグループ
4918,(株)アイビー化粧品
2438,(株)アスカネット
7376,ＢＣＣ(株)
7878,(株)光・彩
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ(株)
6166,(株)中村超硬
7603,ジーイエット(株)
504A,イノバセル(株)
7781,(株)平山ホールディングス
4840,(株)トライアイズ
147A,(株)ソラコム
4812,(株)電通総研
4828,ビジネスエンジニアリング(株)
6731,(株)ピクセラ
5126,ポーターズ(株)
2321,(株)ソフトフロントホールディングス
4258,(株)網屋
4478,フリー(株)
215A,(株)タイミー
2034,NEXT NOTES 韓国KOSPI･ベアETN
6736,サン電子(株)
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株)
5578,ＡＲアドバンストテクノロジ(株)
330A,(株)ＴａｌｅｎｔＸ
5136,ｔｒｉｐｌａ(株)
4990,昭和化学工業(株)
9337,(株)トリドリ
3845,(株)アイフリークモバイル
338A,(株)ＺｅｎｍｕＴｅｃｈ
7018,内海造船(株)
3994,(株)マネーフォワード
4578,大塚ホールディングス(株)
3664,(株)ＷＩＺＥ
3923,(株)ラクス
3692,(株)ＦＦＲＩセキュリティ
8338,(株)筑波銀行
5253,カバー(株)
4776,サイボウズ(株)
4056,ニューラルグループ(株)
4194,ビジョナル(株)
2436,共同ピーアール(株)
6634,(株)ＪＮグループ
1770,藤田エンジニアリング(株)
4475,ＨＥＮＮＧＥ(株)
