CODE,NAME
4596,窪田製薬ホールディングス(株)
3133,(株)海帆
9425,ＲｅＹｕｕ　Ｊａｐａｎ(株)
6634,(株)ＪＮグループ
2492,(株)インフォマート
9444,(株)トーシンホールディングス
504A,イノバセル(株)
4575,(株)キャンバス
4935,(株)リベルタ
6166,(株)中村超硬
4812,(株)電通総研
6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
4275,(株)カーリット
6963,ローム(株)
6492,岡野バルブ製造(株)
9941,太洋物産(株)
456A,ＨＵＭＡＮ　ＭＡＤＥ(株)
4258,(株)網屋
3445,(株)ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
5537,(株)ＡｌｂａＬｉｎｋ
3436,(株)ＳＵＭＣＯ
5133,(株)テリロジーホールディングス
5572,(株)Ｒｉｄｇｅ－ｉ
5242,(株)アイズ
4419,(株)Ｆｉｎａｔｅｘｔホールディングス
6590,芝浦メカトロニクス(株)
4424,(株)Ａｍａｚｉａ
6136,ＯＳＧ
6656,インスペック(株)
4446,Ｌｉｎｋ－Ｕグループ(株)
1436,(株)グリーンエナジー＆カンパニー
9553,(株)マイクロアド
285A,キオクシアホールディングス(株)
4412,(株)サイエンスアーツ
6966,(株)三井ハイテック
6466,(株)ＴＶＥ
5189,櫻護謨(株)
2345,(株)ＨＯＤＬ１
6218,エンシュウ(株)
6264,(株)マルマエ
6324,(株)ハーモニック・ドライブ・システムズ
472A,(株)ミラティブ
1447,ＳＡＡＦホールディングス(株)
4582,シンバイオ製薬(株)
6268,ナブテスコ(株)
6997,日本ケミコン(株)
186A,(株)アストロスケールホールディングス
2370,(株)メディネット
4667,アイサンテクノロジー(株)
7283,愛三工業(株)
