CODE,NAME
6327,北川精機(株)
4883,(株)モダリス
3652,(株)ディジタルメディアプロフェッショナル
3681,(株)ブイキューブ
3634,(株)ソケッツ
323A,(株)フライヤー
6085,アーキテクツ・スタジオ・ジャパン(株)
7236,(株)ティラド
6173,(株)アクアライン
6617,(株)東光高岳
6656,インスペック(株)
1944,(株)きんでん
4437,ｇｏｏｄｄａｙｓホールディングス(株)
157A,グリーンモンスター(株)
1942,(株)関電工
7282,豊田合成(株)
4427,(株)ＥｄｕＬａｂ
5482,愛知製鋼(株)
1964,中外炉工業(株)
8362,(株)福井銀行
1960,(株)サンテック
6029,アトラグループ(株)
4112,保土谷化学工業(株)
7375,(株)リファインバースグループ
3192,(株)白鳩
7949,小松ウオール工業(株)
3185,夢展望(株)
4228,積水化成品工業(株)
8591,オリックス(株)
485A,(株)パワーエックス
7111,ＩＮＥＳＴ(株)
2334,(株)イオレ
7327,(株)第四北越フィナンシャルグループ
1803,清水建設(株)
520A,ジェイファーマ(株)
5541,大平洋金属(株)
1812,鹿島
8308,(株)りそなホールディングス
5591,(株)ＡＶＩＬＥＮ
8334,(株)群馬銀行
8377,(株)ほくほくフィナンシャルグループ
8524,(株)北洋銀行
4011,(株)ヘッドウォータース
8338,(株)筑波銀行
276A,ククレブ・アドバイザーズ(株)
6492,岡野バルブ製造(株)
8337,(株)千葉興業銀行
8550,(株)栃木銀行
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス(株)
7501,(株)ティムコ
