CODE,NAME
9444,(株)トーシンホールディングス
4351,(株)山田再生系債権回収総合事務所
3551,ダイニック(株)
4320,(株)ＣＥホールディングス
5034,(株)ｕｎｅｒｒｙ
6965,浜松ホトニクス(株)
4040,南海化学(株)
4980,デクセリアルズ(株)
4255,ＴＨＥＣＯＯ(株)
9256,(株)サクシード
155A,(株)情報戦略テクノロジー
5989,(株)エイチワン
5892,(株)ｙｕｔｏｒｉ
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ(株)
6925,ウシオ電機(株)
4392,ＦＩＧ(株)
7014,(株)名村造船所
7600,(株)日本エム・ディ・エム
5644,(株)メタルアート
6013,(株)タクマ
4619,日本特殊塗料(株)
7069,(株)サイバー・バズ
8147,(株)トミタ
9691,(株)両毛システムズ
366A,ウェルネス・コミュニケーションズ(株)
5714,ＤＯＷＡホールディングス(株)
6508,(株)明電舎
9337,(株)トリドリ
6072,地盤ネットホールディングス(株)
5029,サークレイス(株)
3656,ＫＬａｂ(株)
5537,(株)ＡｌｂａＬｉｎｋ
2874,ヨコレイ
9880,イノテック(株)
2475,ＷＤＢホールディングス(株)
3106,クラボウ
6914,オプテックスグループ(株)
3465,ケイアイスター不動産(株)
3687,(株)フィックスターズ
7272,ヤマハ発動機(株)
6254,野村マイクロ・サイエンス(株)
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
3611,(株)マツオカコーポレーション
6518,三相電機(株)
1963,日揮ホールディングス(株)
300A,ＭＩＣ(株)
9271,(株)和心
6544,ジャパンエレベーターサービスホールディングス(株)
4776,サイボウズ(株)
3034,クオールホールディングス(株)
