CODE,NAME
9270,バリュエンスホールディングス(株)
550A,(株)ソフトテックス
7375,(株)リファインバースグループ
3608,(株)ＴＳＩホールディングス
3103,ユニチカ(株)
3560,(株)ほぼ日
3444,(株)菊池製作所
2999,ホームポジション(株)
3046,(株)ジンズホールディングス
6217,津田駒工業(株)
6085,アーキテクツ・スタジオ・ジャパン(株)
4422,ＶＡＬＵＥＮＥＸ(株)
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
6668,(株)アドテック　プラズマ　テクノロジー
2332,(株)クエスト
4055,ティアンドエスグループ(株)
5532,(株)リアルゲイト
5194,相模ゴム工業(株)
6433,ヒーハイスト(株)
6613,(株)ＱＤレーザ
6232,(株)ＡＣＳＬ
5817,ＪＭＡＣＳ(株)
8918,(株)ランド
2222,寿スピリッツ(株)
542A,(株)ビタブリッドジャパン
6227,ＡＩメカテック(株)
4324,(株)電通グループ
2667,(株)イメージ　ワン
323A,(株)フライヤー
4651,(株)サニックスホールディングス
6490,(株)ＰＩＬＬＡＲ
4125,三和油化工業(株)
2038,NEXT NOTES ドバイ原油先物 ダブル・ブル ETN
3070,(株)ジェリービーンズグループ
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ(株)
6492,岡野バルブ製造(株)
6521,(株)オキサイド
4169,ＥＮＥＣＨＡＮＧＥ(株)
5243,ｎｏｔｅ(株)
543A,ＡＲＣＨＩＯＮ(株)
262A,(株)インターメスティック
2195,アミタホールディングス(株)
6506,(株)安川電機
9726,ＫＮＴ－ＣＴホールディングス(株)
198A,ＰｏｓｔＰｒｉｍｅ(株)
3778,さくらインターネット(株)
7318,セレンディップ・ホールディングス(株)
6597,ＨＰＣシステムズ(株)
1514,住石ホールディングス(株)
6997,日本ケミコン(株)
