CODE,NAME
2354,(株)ＹＥ　ＤＩＧＩＴＡＬ
150A,(株)ＪＳＨ
598A,チャットプラス(株)
2345,(株)ＨＯＤＬ１
4762,(株)エックスネット
9238,バリュークリエーション(株)
296A,令和アカウンティング・ホールディングス(株)
285A,キオクシアホールディングス(株)
5242,(株)アイズ
5575,(株)Ｇｌｏｂｅｅ
3907,シリコンスタジオ(株)
6977,(株)日本抵抗器製作所
7138,(株)ＴＯＲＩＣＯ
3179,シュッピン(株)
3864,三菱製紙(株)
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
4062,イビデン(株)
4092,日本化学工業(株)
325A,(株)ＴＥＮＴＩＡＬ
8393,(株)宮崎銀行
3350,(株)メタプラネット
4113,田岡化学工業(株)
2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN
5983,イワブチ(株)
6526,(株)ソシオネクスト
7175,今村証券(株)
2721,(株)ジェイホールディングス
7322,(株)三十三フィナンシャルグループ
2837,GX 中小型リーダーズ-日本株式
6232,(株)ＡＣＳＬ
2492,(株)インフォマート
9313,丸八倉庫(株)
5246,(株)ＥＬＥＭＥＮＴＳ
6366,千代田化工建設(株)
6085,アーキテクツ・スタジオ・ジャパン(株)
6433,ヒーハイスト(株)
3187,(株)ミラタップ
2962,(株)テクニスコ
7162,アストマックス(株)
6493,(株)ＮＩＴＴＡＮ
7389,(株)あいちフィナンシャルグループ
4935,(株)リベルタ
4972,綜研化学(株)
9304,澁澤倉庫(株)
7184,(株)富山第一銀行
6376,日機装(株)
6524,湖北工業(株)
6857,(株)アドバンテスト
5337,ダントーホールディングス(株)
6237,(株)イワキ
