CODE,NAME
5103,昭和ホールディングス(株)
2459,アウンコンサルティング(株)
1518,三井松島ホールディングス(株)
5242,(株)アイズ
593A,(株)ティアフォー
6890,(株)フェローテック
584A,ＬｉＮＫＸ(株)
6380,オリエンタルチエン工業(株)
2354,(株)ＹＥ　ＤＩＧＩＴＡＬ
4890,(株)坪田ラボ
4894,クオリプス(株)
3907,シリコンスタジオ(株)
3878,(株)巴川コーポレーション
429A,テクセンドフォトマスク(株)
4381,ビープラッツ(株)
9425,ＲｅＹｕｕ　Ｊａｐａｎ(株)
6666,リバーエレテック(株)
6522,(株)アスタリスク
2345,(株)ＨＯＤＬ１
6227,ＡＩメカテック(株)
6217,津田駒工業(株)
2033,NEXT NOTES 韓国KOSPI･ダブル･ブルETN
9478,ＳＥホールディングス・アンド・インキュベーションズ(株)
7931,未来工業(株)
4935,(株)リベルタ
6104,芝浦機械(株)
7721,東京計器(株)
8914,エリアリンク(株)
219A,Ｈｅａｒｔｓｅｅｄ(株)
3624,アクセルマーク(株)
4586,(株)メドレックス
2693,ＹＫＴ(株)
5126,ポーターズ(株)
6946,日本アビオニクス(株)
6613,(株)ＱＤレーザ
1684,WisdomTree ブロード上場投信
485A,(株)パワーエックス
4052,フィーチャ(株)
554A,(株)バトンズ
7376,ＢＣＣ(株)
5074,テスホールディングス(株)
9090,ＡＺ－ＣＯＭ丸和ホールディングス(株)
6237,(株)イワキ
9441,(株)ベルパーク
5713,住友金属鉱山(株)
6315,ＴＯＷＡ(株)
4238,ミライアル(株)
5726,(株)大阪チタニウムテクノロジーズ
6920,レーザーテック(株)
5337,ダントーホールディングス(株)
