CODE,NAME
3103,ユニチカ(株)
4735,(株)京進
6323,ローツェ(株)
550A,(株)ソフトテックス
5816,オーナンバ(株)
3664,(株)ＷＩＺＥ
402A,(株)アクセルスペースホールディングス
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株)
6258,平田機工(株)
6814,古野電気(株)
485A,(株)パワーエックス
6264,(株)マルマエ
6552,(株)ＧａｍｅＷｉｔｈ
9348,(株)ｉｓｐａｃｅ
9983,(株)ファーストリテイリング
5803,(株)フジクラ
6101,(株)ツガミ
6173,(株)アクアライン
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
4691,ワシントンホテル(株)
3077,ホリイフードサービス(株)
6432,(株)竹内製作所
7902,(株)ソノコム
6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
3104,富士紡ホールディングス(株)
464A,(株)ＱＰＳホールディングス
5256,(株)Ｆｕｓｉｃ
6834,(株)精工技研
6104,芝浦機械(株)
537A,NZAM 上場投信 全世界株式(MSCI ACWI)(H無)
285A,キオクシアホールディングス(株)
6407,ＣＫＤ(株)
9240,(株)デリバリーコンサルティング
3110,日東紡
186A,(株)アストロスケールホールディングス
6315,ＴＯＷＡ(株)
6380,オリエンタルチエン工業(株)
290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ
5817,ＪＭＡＣＳ(株)
4629,大伸化学(株)
6696,(株)トラース・オン・プロダクト
6524,湖北工業(株)
6920,レーザーテック(株)
6327,北川精機(株)
6481,ＴＨＫ(株)
6961,(株)エンプラス
6666,リバーエレテック(株)
5706,三井金属(株)
9082,大和自動車交通(株)
130A,(株)Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ
