CODE,NAME
4052,フィーチャ(株)
4424,(株)Ａｍａｚｉａ
3907,シリコンスタジオ(株)
4073,(株)ジィ・シィ企画
3803,イメージ情報開発(株)
6522,(株)アスタリスク
5575,(株)Ｇｌｏｂｅｅ
6769,ザインエレクトロニクス(株)
5242,(株)アイズ
1770,藤田エンジニアリング(株)
7018,内海造船(株)
4025,多木化学(株)
6200,(株)インソース
3104,富士紡ホールディングス(株)
3628,(株)データホライゾン
581A,ＧＯ(株)
6997,日本ケミコン(株)
9115,明海グループ(株)
9399,ビート・ホールディングス・リミテッド
5706,三井金属(株)
4476,ＡＩ　ＣＲＯＳＳ(株)
7254,(株)ユニバンス
2068,NEXT NOTES 高ベータ30(NR)ETN
9647,(株)協和コンサルタンツ
3900,(株)クラウドワークス
7014,(株)名村造船所
3192,(株)白鳩
6976,太陽誘電(株)
5367,(株)ニッカトー
1447,ＳＡＡＦホールディングス(株)
6834,(株)精工技研
5268,旭コンクリート工業(株)
1685,WisdomTree エネルギー上場投信
6999,ＫＯＡ(株)
4092,日本化学工業(株)
6265,コンバム(株)
3624,アクセルマーク(株)
4970,東洋合成工業(株)
4012,(株)アクシス
6668,(株)アドテック　プラズマ　テクノロジー
1675,WisdomTree パラジウム上場投信
2034,NEXT NOTES 韓国KOSPI･ベアETN
9900,(株)サガミホールディングス
2656,(株)ベクターホールディングス
8338,(株)筑波銀行
4229,群栄化学工業(株)
5998,(株)アドバネクス
6016,(株)ジャパンエンジンコーポレーション
7089,フォースタートアップス(株)
1690,WisdomTree WTI原油上場投信
