CODE,NAME
2388,(株)ウェッジホールディングス
3133,(株)海帆
6522,(株)アスタリスク
7815,東京ボード工業(株)
6977,(株)日本抵抗器製作所
584A,ＬｉＮＫＸ(株)
3989,シェアリングテクノロジー(株)
546A,ＭＩＲＡＩＮＩホールディングス(株)
4179,(株)ジーネクスト
7140,ペットゴー(株)
265A,Ｈｍｃｏｍｍ(株)
6166,(株)中村超硬
6327,北川精機(株)
3529,アツギ(株)
6707,サンケン電気(株)
4446,Ｌｉｎｋ－Ｕグループ(株)
4833,(株)Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ
218A,(株)Ｌｉｂｅｒａｗａｒｅ
4586,(株)メドレックス
8918,(株)ランド
9399,ビート・ホールディングス・リミテッド
4972,綜研化学(株)
7363,(株)ベビーカレンダー
3664,(株)ＷＩＺＥ
6324,(株)ハーモニック・ドライブ・システムズ
2962,(株)テクニスコ
462A,(株)ＦＵＮＤＩＮＮＯ
6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
3926,(株)オープンドア
5252,日本ナレッジ(株)
9229,(株)サンウェルズ
6976,太陽誘電(株)
9235,売れるネット広告社グループ(株)
323A,(株)フライヤー
264A,(株)Ｓｃｈｏｏ
6590,芝浦メカトロニクス(株)
6022,(株)赤阪鐵工所
6323,ローツェ(株)
9478,ＳＥホールディングス・アンド・インキュベーションズ(株)
4255,ＴＨＥＣＯＯ(株)
3840,パス(株)
1447,ＳＡＡＦホールディングス(株)
5801,古河電気工業(株)
352A,(株)ＬＯＩＶＥ
9265,ヤマシタヘルスケアホールディングス(株)
4572,カルナバイオサイエンス(株)
7447,ナガイレーベン(株)
2349,(株)エヌアイデイ
6870,日本フェンオール(株)
6315,ＴＯＷＡ(株)
