CODE,NAME
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ(株)
5856,(株)エルアイイーエイチ
6977,(株)日本抵抗器製作所
4100,戸田工業(株)
7501,(株)ティムコ
6203,豊和工業(株)
6659,(株)メディアリンクス
7794,(株)イーディーピー
6976,太陽誘電(株)
9348,(株)ｉｓｐａｃｅ
6327,北川精機(株)
3905,データセクション(株)
7435,(株)ナ・デックス
4166,かっこ(株)
5367,(株)ニッカトー
6616,トレックス・セミコンダクター(株)
6997,日本ケミコン(株)
6779,日本電波工業(株)
5726,(株)大阪チタニウムテクノロジーズ
2330,(株)フォーサイド
7567,(株)栄電子
4366,ダイトーケミックス(株)
4800,オリコン(株)
9704,(株)アゴーラホスピタリティーグループ
7602,(株)レダックス
6548,(株)旅工房
6217,津田駒工業(株)
6703,ＯＫＩ
6806,ヒロセ電機(株)
6999,ＫＯＡ(株)
7859,(株)アルメディオ
2323,(株)ｆｏｎｆｕｎ
3976,(株)シャノン
6981,(株)村田製作所
4098,チタン工業(株)
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
7717,(株)ブイ・テクノロジー
2934,ジェイフロンティア(株)
5018,(株)ＭＯＲＥＳＣＯ
3445,(株)ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
9313,丸八倉庫(株)
6962,(株)大真空
1948,(株)弘電社
4310,(株)ドリームインキュベータ
7713,シグマ光機(株)
6072,地盤ネットホールディングス(株)
4664,ＲＳＣ
6392,(株)ヤマダコーポレーション
5951,ダイニチ工業(株)
147A,(株)ソラコム
