CODE,NAME
6217,津田駒工業(株)
7256,河西工業(株)
6232,(株)ＡＣＳＬ
5597,ブルーイノベーション(株)
3936,(株)グローバルウェイ
5210,日本山村硝子(株)
7031,(株)インバウンドテック
4288,(株)アズジェント
7220,武蔵精密工業(株)
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株)
2342,(株)トランスジェニックグループ
7871,フクビ化学工業(株)
5699,(株)イボキン
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス(株)
6085,アーキテクツ・スタジオ・ジャパン(株)
1793,(株)大本組
3157,ジオリーブグループ(株)
218A,(株)Ｌｉｂｅｒａｗａｒｅ
4684,(株)オービック
6666,リバーエレテック(株)
5576,(株)オービーシステム
6023,ダイハツインフィニアース(株)
3652,(株)ディジタルメディアプロフェッショナル
6203,豊和工業(株)
6769,ザインエレクトロニクス(株)
7719,(株)東京衡機
4657,(株)環境管理センター
6387,サムコ(株)
4478,フリー(株)
3853,アステリア(株)
255A,ジーエルテクノホールディングス(株)
9984,ソフトバンクグループ(株)
4004,(株)レゾナック・ホールディングス
7014,(株)名村造船所
3656,ＫＬａｂ(株)
6208,(株)石川製作所
5805,ＳＷＣＣ(株)
2901,(株)ウェルディッシュ
2934,ジェイフロンティア(株)
9557,(株)エアークローゼット
485A,(株)パワーエックス
228A,(株)オプロ
533A,NZAM 上場投信 S&P500(H無)
3697,(株)ＳＨＩＦＴ
6361,荏原
8226,(株)理経
285A,キオクシアホールディングス(株)
6986,双葉電子工業(株)
2303,(株)ドーン
3446,(株)ジェイテックコーポレーション
