CODE,NAME
9444,(株)トーシンホールディングス
9256,(株)サクシード
6533,(株)Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ
6659,(株)メディアリンクス
3444,(株)菊池製作所
149A,(株)シンカ
6897,(株)ツインバード
4840,(株)トライアイズ
2962,(株)テクニスコ
3544,サツドラホールディングス(株)
7048,ベルトラ(株)
5074,テスホールディングス(株)
2034,NEXT NOTES 韓国KOSPI･ベアETN
5287,(株)イトーヨーギョー
7875,竹田ｉＰホールディングス(株)
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ(株)
3667,(株)ｅｎｉｓｈ
6597,ＨＰＣシステムズ(株)
6994,(株)指月電機製作所
9399,ビート・ホールディングス・リミテッド
6573,ＣＲＡＶＩＡ(株)
5033,(株)ヌーラボ
1459,楽天 ETF-日経ダブルインバース指数連動型
7412,(株)アトム
1357,(NEXT FUNDS) 日経ダブルインバース上場投信
1360,日経平均ベア2倍上場投信
1407,(株)ウエストホールディングス
4088,エア・ウォーター(株)
1366,iFreeETF 日経平均ダブルインバース・インデックス
7868,(株)広済堂ホールディングス
298A,ＧＶＡ　ＴＥＣＨ(株)
281A,インフォメティス(株)
1368,iFreeETF TOPIXダブルインバース(-2倍)指数
9115,明海グループ(株)
325A,(株)ＴＥＮＴＩＡＬ
1356,TOPIXベア2倍上場投信
5803,(株)フジクラ
4175,(株)ｃｏｌｙ
4564,オンコセラピー・サイエンス(株)
5834,ＳＢＩリーシングサービス(株)
7064,(株)ハウテレビジョン
2934,ジェイフロンティア(株)
7777,(株)スリー・ディー・マトリックス
2870,iFreeETF NASDAQ100ダブルインバース
9369,(株)キユーソー流通システム
2607,不二製油(株)
6656,インスペック(株)
5252,日本ナレッジ(株)
7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
6317,(株)北川鉄工所
